TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS,COACH,COACH_PREMIUM,EFF_RATIO,SHOOT_EDGE,TURNOVER_EDGE,REBOUND_SHARE,OFF_VERSATILITY,WIN_RATE,SEED_X_DIVERGENCE,COACH_X_DIVERGENCE,TQS_X_SOS,CONF_TOURNEY_WINS,CONF_TOURNEY_CHAMP
Air Force,MWC,30,16,109.2,103.5,0.6481,54.7,51.9,18.5,19.1,23.7,31.8,30.8,36.6,52.9,54.2,38.1,32.4,64.4,-2.9,,,2013,6.74,111.7,104.9,63.2,0.034,7.17,-4.78,6.7264,99.0,,0.0,Dave Pilipovich,0.0,1.055072463768116,2.8000000000000043,0.6000000000000014,0.427027027027027,1173.48,0.5333333333333333,,,48.228288,0.0,0
Akron,MAC,32,25,103.4,94.4,0.7402,51.0,44.6,20.8,20.2,37.6,30.5,36.9,35.0,52.1,42.7,32.7,32.8,66.5,0.3,R64,12.0,2013,11.52,106.8,95.2,65.2,0.085,-0.35,0.28,11.486,62.0,-4.0,0.0,Keith Dambrot,0.0,1.0953389830508475,6.399999999999999,-0.6000000000000014,0.552129221732746,1206.63,0.78125,-10.259797429846147,-0.0,-4.0201,2.0,1
Alabama,SEC,35,22,102.6,89.7,0.8243,47.9,45.7,19.9,22.6,32.0,32.9,33.9,32.7,47.1,45.2,33.0,31.3,61.7,-1.5,,,2013,11.47,103.6,92.2,60.5,0.001,4.52,1.07,11.4696,64.0,,0.0,Anthony Grant,0.0,1.1438127090301002,2.1999999999999957,2.700000000000003,0.49306625577812013,1118.7,0.6285714285714286,,,51.842591999999996,1.0,0
Alabama A&M,SWAC,29,9,89.2,111.1,0.074,43.8,49.8,21.0,17.4,31.8,31.9,36.9,36.0,43.9,48.8,28.9,34.9,66.1,-16.0,,,2013,,,,,,,,-21.89999999999999,150.0,,0.0,Willie Hayes,0.0,0.802880288028803,-6.0,-3.6000000000000014,0.49921507064364207,1066.4099999999999,0.3103448275862069,,,,1.0,0
Alabama St.,SWAC,31,9,91.1,110.1,0.1023,45.1,49.4,22.0,19.5,33.4,34.5,32.2,38.0,44.8,47.6,30.6,35.2,67.0,-17.2,,,2013,,,,,,,,-19.0,150.0,,0.0,Lewis Jackson,0.0,0.8274296094459582,-4.299999999999997,-2.5,0.4918998527245949,985.3200000000002,0.2903225806451613,,,,0.0,0
Albany,AE,35,24,101.2,98.7,0.5722,49.6,48.3,21.2,19.9,31.7,28.2,40.0,27.8,46.7,47.6,37.0,33.1,63.2,-4.5,R64,15.0,2013,,,,,,,,2.5,150.0,-1.0,0.0,Will Brown,0.0,1.0253292806484295,1.3000000000000043,-1.3000000000000007,0.5292153589315526,1480.0,0.6857142857142857,-2.772588722239781,-0.0,,0.0,0
Alcorn St.,SWAC,32,9,85.4,101.2,0.1234,42.3,44.4,22.2,19.1,29.3,36.0,38.1,47.0,41.6,43.8,29.3,30.5,67.7,-16.7,,,2013,,,,,,,,-15.799999999999995,150.0,,0.0,Luther Riley,0.0,0.8438735177865613,-2.1000000000000014,-3.099999999999998,0.44869831546707506,1116.3300000000002,0.28125,,,,0.0,0
American,Pat,30,10,95.7,106.4,0.2266,47.3,51.3,20.2,15.6,28.5,27.0,30.9,27.9,43.8,45.7,36.2,41.1,59.9,-13.4,,,2013,,,,,,,,-10.700000000000005,150.0,,0.0,Jeff A Jones,0.0,0.8994360902255639,-4.0,-4.6,0.5135135135135135,1118.58,0.3333333333333333,,,,0.0,0
Appalachian St.,SC,29,13,97.6,105.8,0.2822,49.6,51.4,19.4,18.8,30.3,30.3,37.9,35.2,47.2,52.5,36.5,32.7,68.0,-11.7,,,2013,,,,,,,,-8.200000000000003,150.0,,0.0,Jason Capel,0.0,0.9224952741020793,-1.7999999999999972,-0.5999999999999979,0.5,1383.35,0.4482758620689655,,,,0.0,0
Arizona,P12,35,27,114.4,92.2,0.9229,52.5,46.6,19.5,19.8,35.0,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,4.6,S16,6.0,2013,21.88,115.4,93.5,65.5,-0.012,7.99,1.45,21.8848,14.0,2.0,0.0,Sean Miller,0.0,1.2407809110629067,5.899999999999999,0.3000000000000007,0.5672609400324149,1387.54,0.7714285714285715,3.8918202981106265,0.0,174.85955199999998,1.0,0
