TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS
Air Force,MWC,30,16,109.2,103.5,0.6481,54.7,51.9,18.5,19.1,23.7,31.8,30.8,36.6,52.9,54.2,38.1,32.4,64.4,-2.9,,,2013,6.74,111.7,104.9,63.2,0.034,7.17,-4.78,6.7264,99.0,,0.0
Akron,MAC,32,25,103.4,94.4,0.7402,51.0,44.6,20.8,20.2,37.6,30.5,36.9,35.0,52.1,42.7,32.7,32.8,66.5,0.3,R64,12.0,2013,11.52,106.8,95.2,65.2,0.085,-0.35,0.28,11.486,62.0,4.0,0.0
Alabama,SEC,35,22,102.6,89.7,0.8243,47.9,45.7,19.9,22.6,32.0,32.9,33.9,32.7,47.1,45.2,33.0,31.3,61.7,-1.5,,,2013,11.47,103.6,92.2,60.5,0.001,4.52,1.07,11.4696,64.0,,0.0
Alabama A&M,SWAC,29,9,89.2,111.1,0.074,43.8,49.8,21.0,17.4,31.8,31.9,36.9,36.0,43.9,48.8,28.9,34.9,66.1,-16.0,,,2013,,,,,,,,-21.89999999999999,150.0,,0.0
Alabama St.,SWAC,31,9,91.1,110.1,0.1023,45.1,49.4,22.0,19.5,33.4,34.5,32.2,38.0,44.8,47.6,30.6,35.2,67.0,-17.2,,,2013,,,,,,,,-19.0,150.0,,0.0
Albany,AE,35,24,101.2,98.7,0.5722,49.6,48.3,21.2,19.9,31.7,28.2,40.0,27.8,46.7,47.6,37.0,33.1,63.2,-4.5,R64,15.0,2013,,,,,,,,2.5,150.0,1.0,0.0
Alcorn St.,SWAC,32,9,85.4,101.2,0.1234,42.3,44.4,22.2,19.1,29.3,36.0,38.1,47.0,41.6,43.8,29.3,30.5,67.7,-16.7,,,2013,,,,,,,,-15.799999999999995,150.0,,0.0
American,Pat,30,10,95.7,106.4,0.2266,47.3,51.3,20.2,15.6,28.5,27.0,30.9,27.9,43.8,45.7,36.2,41.1,59.9,-13.4,,,2013,,,,,,,,-10.700000000000005,150.0,,0.0
Appalachian St.,SC,29,13,97.6,105.8,0.2822,49.6,51.4,19.4,18.8,30.3,30.3,37.9,35.2,47.2,52.5,36.5,32.7,68.0,-11.7,,,2013,,,,,,,,-8.200000000000003,150.0,,0.0
Arizona,P12,35,27,114.4,92.2,0.9229,52.5,46.6,19.5,19.8,35.0,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,4.6,S16,6.0,2013,21.88,115.4,93.5,65.5,-0.012,7.99,1.45,21.8848,14.0,-2.0,0.0
Arizona St.,P12,35,22,107.5,96.3,0.7798,52.3,46.4,18.5,18.1,28.3,30.0,35.9,26.6,52.5,44.5,34.6,33.7,66.2,-1.7,,,2013,10.5,108.3,97.8,64.8,-0.014,3.91,-11.29,10.5056,72.0,,0.0
Arkansas,SEC,32,19,105.3,95.1,0.7643,48.4,49.2,16.3,24.6,31.7,33.5,35.1,44.4,50.0,46.9,30.0,35.9,71.2,-2.4,,,2013,9.29,106.7,97.4,69.6,0.004,4.24,-4.85,9.2884,80.0,,0.0
Arkansas Little Rock,SB,31,16,93.8,101.2,0.2943,46.4,48.8,22.3,23.2,31.8,32.6,42.7,42.9,44.7,47.6,33.8,34.0,68.1,-9.7,,,2013,,,,,,,,-7.400000000000006,150.0,,0.0
Arkansas Pine Bluff,SWAC,30,16,91.3,100.8,0.2436,44.7,46.9,20.9,23.5,31.5,35.6,33.0,37.7,44.4,46.4,30.2,31.7,68.2,-8.2,,,2013,,,,,,,,-9.5,150.0,,0.0
Arkansas St.,SB,30,18,96.8,95.8,0.5312,45.7,46.7,18.9,23.1,33.5,30.3,44.2,35.7,45.6,45.0,30.7,33.5,65.5,-7.8,,,2013,1.74,98.8,97.1,64.2,-0.033,-5.65,-7.01,1.7532,148.0,,0.0
Army,Pat,30,15,104.2,103.3,0.5239,51.7,48.7,20.7,18.6,31.7,29.7,36.9,36.8,49.2,46.0,37.1,35.8,68.3,-10.1,,,2013,,,,,,,,0.9000000000000057,150.0,,0.0
Auburn,SEC,32,9,97.0,99.4,0.4298,46.0,49.7,19.7,19.8,29.2,29.9,35.3,43.0,45.7,48.3,31.1,34.5,67.1,-13.4,,,2013,,,,,,,,-2.4000000000000057,150.0,,0.0
Austin Peay,OVC,29,6,96.7,110.2,0.183,51.7,52.0,23.2,18.1,28.9,35.3,37.4,29.3,48.8,51.8,38.1,34.9,69.2,-18.5,,,2013,,,,,,,,-13.5,150.0,,0.0
BYU,WCC,35,23,109.1,95.8,0.8165,50.2,48.1,17.0,19.3,32.8,27.7,36.0,37.6,50.2,47.1,33.5,33.3,71.4,-2.5,,,2013,13.04,110.2,97.2,69.9,-0.016,3.15,0.57,13.046399999999998,57.0,,0.0
Ball St.,MAC,30,15,98.5,105.5,0.3133,48.3,50.8,23.1,19.7,35.9,29.5,46.6,36.2,47.9,50.0,32.7,34.9,66.1,-9.7,,,2013,,,,,,,,-7.0,150.0,,0.0
Baylor,B12,36,22,112.4,95.3,0.8698,51.6,45.7,17.2,18.7,33.5,32.8,36.3,33.3,51.1,44.7,34.9,32.2,67.6,-2.5,,,2013,17.89,114.3,96.4,66.4,-0.09,6.92,1.45,17.926000000000002,28.0,,0.0
Belmont,OVC,31,24,108.9,96.2,0.8064,56.5,48.0,19.6,25.0,29.7,34.2,32.8,37.0,56.9,46.7,37.2,33.5,67.4,0.1,R64,11.0,2013,14.92,111.6,96.6,65.9,0.013,-0.74,5.39,14.9148,43.0,0.0,0.0
