YEAR,TEAM,SEED,CONF,KADJ EM,KADJ O,KADJ D,KADJ T,BADJ EM,BADJ O,BADJ D,BARTHAG,EFG%,EFG%D,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,2PT%,2PT%D,3PT%,3PT%D,2PTR,3PTR,EXP,TALENT,AVG HGT,EFF HGT,PPPO,PPPD,WAB,ELITE SOS,BADJ T,ROUNDS_WON,RELATIVE RATING,KILLSHOTS PER GAME,KILL SHOTS CONCEDED PER GAME,KILLSHOTS MARGIN,ROSTER RANK,INJURY RANK,NET RPI,ELO,B POWER,Q1 W,Q2 W,Q1 PLUS Q2 W,Q3 Q4 L,RESUME,R SCORE,SEED_DIVERGENCE,COACH,COACH_PREMIUM
2008,Kansas,1,B12,33.9647,121.433,87.4681,66.8546,35.4,121.0,85.6,0.982,56.3,44.8,37.5,30.8,18.7,22.9,38.0,71.0,54.8,40.9,39.9,34.0,70.8,29.2,2.047,89.633,77.1,81.427,1.173,0.891,9.9,30.29,69.5,6.0,,,,,,,5,4,1.0,8,7,15,0,11,99.9,0,Bill Self,-3.7
2008,UCLA,1,P10,30.5753,118.735,88.16,63.1761,29.5,116.4,86.9,0.967,52.3,48.0,38.0,25.7,18.8,22.7,39.2,74.1,52.9,46.8,33.8,34.2,71.9,28.1,1.491,78.469,77.86,81.032,1.129,0.909,10.8,32.362,66.2,4.0,,,,,,,4,2,2.0,11,9,20,1,1,100.0,0,Ben Howland,-1.5
2008,Memphis,1,CUSA,29.3779,114.695,85.3169,67.7113,29.5,113.3,83.8,0.97,53.0,42.5,38.6,32.7,17.2,23.3,37.8,70.7,53.3,41.6,35.0,29.8,63.3,36.7,1.605,82.995,77.749,80.518,1.121,0.853,8.9,20.888,70.7,5.0,,,,,,,3,3,3.0,6,9,15,0,12,100.0,0,John Calipari,9.8
2008,North Carolina,1,ACC,28.1446,120.686,92.5415,71.9191,28.4,120.2,91.8,0.957,52.4,48.0,39.1,25.5,19.0,21.2,42.4,71.3,51.2,47.0,37.8,33.2,77.8,22.2,1.595,90.906,77.311,80.158,1.149,0.942,11.9,31.561,75.1,4.0,,,,,,,2,1,4.0,9,11,20,0,2,100.0,0,Roy Williams,5.3
2008,Duke,2,ACC,27.6285,117.443,89.8149,70.9709,28.4,117.2,88.8,0.961,54.1,47.6,40.4,32.0,18.2,24.9,34.3,66.5,51.8,47.1,38.4,32.8,60.9,39.1,1.23,95.074,77.243,79.919,1.127,0.929,8.9,34.065,73.7,1.0,,,,,,,7,11,5.0,7,7,14,0,5,99.9,0,Mike Krzyzewski,-0.1
2008,Georgetown,2,BE,24.9836,114.989,90.0051,59.8577,25.2,113.1,87.9,0.948,56.2,41.9,34.0,35.8,20.9,20.2,33.1,67.0,55.6,40.3,38.0,29.9,60.0,40.0,1.773,71.165,77.98,82.117,1.101,0.916,7.7,30.985,63.0,1.0,,,,,,,8,7,7.0,6,4,10,0,14,99.8,0,John Thompson Iii,0.0
2008,Texas,2,B12,24.8513,119.757,94.9061,63.0818,25.8,120.0,94.2,0.942,51.4,46.1,32.6,29.7,14.1,18.5,36.1,66.3,48.7,43.6,37.7,33.2,65.7,34.3,1.229,81.767,75.941,80.494,1.141,0.99,8.4,34.791,64.8,3.0,,,,,,,6,8,8.0,11,6,17,1,3,99.9,0,Rick Barnes,-3.0
2008,Tennessee,2,SEC,22.3372,117.787,95.4494,69.5841,24.1,116.3,92.2,0.935,52.8,49.2,36.8,39.4,17.7,24.6,37.0,65.7,51.7,50.8,36.4,31.0,60.9,39.1,1.716,57.614,76.574,79.866,1.129,0.971,9.2,31.749,72.7,2.0,,,,,,,1,6,15.0,11,5,16,0,4,99.9,-2,Bruce Pearl,0.9
2008,Wisconsin,3,B10,27.4107,113.619,86.2081,60.8809,27.3,112.2,84.9,0.961,50.6,43.1,39.3,25.4,19.4,22.2,36.2,71.5,49.2,41.3,35.9,31.1,68.9,31.1,1.939,82.1,77.432,81.076,1.079,0.862,8.3,28.584,63.5,2.0,,,,,,,11,5,6.0,6,2,8,0,9,99.9,1,Bo Ryan,3.2
2008,Stanford,3,P10,23.9361,113.328,89.3924,62.7524,22.9,111.5,88.6,0.934,49.8,44.0,40.4,34.0,18.9,18.1,39.2,71.2,48.2,41.6,36.0,33.5,72.9,27.1,1.859,64.912,78.338,82.346,1.086,0.931,6.7,33.063,65.2,2.0,,,,,,,14,12,9.0,7,6,13,0,8,99.7,0,Trent Johnson,0.5
2008,Louisville,3,BE,23.198,111.828,88.6299,64.6887,22.9,110.3,87.4,0.936,52.0,43.8,36.4,33.2,19.6,21.4,33.4,69.3,52.5,42.3,34.2,31.0,60.9,39.1,1.617,83.94,77.488,81.28,1.067,0.91,4.7,30.593,67.5,3.0,,,,,,,13,15,11.0,7,4,11,2,6,99.7,0,Rick Pitino,2.6
2008,Xavier,3,A10,22.3453,116.413,94.068,62.8978,22.9,115.2,92.3,0.928,55.0,46.8,41.7,31.5,20.3,20.0,36.5,70.5,52.8,44.6,39.2,33.5,62.9,37.1,2.038,13.33,76.611,80.209,1.15,0.951,4.7,23.372,65.8,3.0,,,,,,,9,13,13.0,9,3,12,0,7,99.7,-1,Sean Miller,1.3
2008,Washington St.,4,P10,23.9044,116.272,92.3676,57.7887,22.5,114.2,91.7,0.926,54.4,47.7,39.8,28.8,17.2,22.2,28.1,69.9,52.9,46.3,38.1,33.7,65.6,34.4,2.39,24.685,77.764,81.077,1.114,0.948,4.9,31.951,60.1,2.0,,,,,,,23,23,10.0,4,8,12,0,35,98.6,1,Tony Bennett,-7.1
