round,region,team_a,team_b,seed_a,seed_b,prob_a,prob_b,predicted_winner,actual_winner,correct
1,South,Duke,Siena,1,16,0.9756,0.0244,Duke,,
1,South,Ohio St.,TCU,8,9,0.6068,0.3932,Ohio St.,,
1,South,St. John's,Northern Iowa,5,12,0.8907,0.1093,St. John's,,
1,South,Kansas,Cal Baptist,4,13,0.8449,0.1551,Kansas,,
1,South,Louisville,South Florida,6,11,0.6746,0.3254,Louisville,,
1,South,Michigan St.,North Dakota St.,3,14,0.8875,0.1125,Michigan St.,,
1,South,UCLA,UCF,7,10,0.6167,0.3833,UCLA,,
1,South,Connecticut,Furman,2,15,0.9503,0.0497,Connecticut,,
2,South,Duke,Ohio St.,1,8,0.8187,0.1813,Duke,,
2,South,St. John's,Kansas,5,4,0.5634,0.4366,St. John's,,
2,South,Louisville,Michigan St.,6,3,0.3557,0.6443,Michigan St.,,
2,South,UCLA,Connecticut,7,2,0.3407,0.6593,Connecticut,,
3,South,Duke,St. John's,1,5,0.7509,0.2491,Duke,,
3,South,Michigan St.,Connecticut,3,2,0.4371,0.5629,Connecticut,,
4,South,Duke,Connecticut,1,2,0.6838,0.3162,Duke,,
1,East,Florida,Lehigh,1,16,0.9632,0.0368,Florida,,
1,East,Clemson,Iowa,8,9,0.5603,0.4397,Clemson,,
1,East,Vanderbilt,McNeese St.,5,12,0.7284,0.2716,Vanderbilt,,
1,East,Nebraska,Troy,4,13,0.8913,0.1087,Nebraska,,
1,East,North Carolina,VCU,6,11,0.6765,0.3235,North Carolina,,
1,East,Illinois,Penn,3,14,0.9185,0.0815,Illinois,,
1,East,Saint Mary's,Texas A&M,7,10,0.5862,0.4138,Saint Mary's,,
1,East,Houston,Idaho,2,15,0.9571,0.0429,Houston,,
2,East,Florida,Clemson,1,8,0.6956,0.3044,Florida,,
2,East,Vanderbilt,Nebraska,5,4,0.5354,0.4646,Vanderbilt,,
2,East,North Carolina,Illinois,6,3,0.3908,0.6092,Illinois,,
2,East,Saint Mary's,Houston,7,2,0.2607,0.7393,Houston,,
3,East,Florida,Vanderbilt,1,5,0.5372,0.4628,Florida,,
3,East,Illinois,Houston,3,2,0.4359,0.5641,Houston,,
4,East,Florida,Houston,1,2,0.4129,0.5871,Houston,,
1,West,Arizona,LIU Brooklyn,1,16,0.9671,0.0329,Arizona,,
1,West,Villanova,Utah St.,8,9,0.5576,0.4424,Villanova,,
1,West,Wisconsin,High Point,5,12,0.7664,0.2336,Wisconsin,,
1,West,Arkansas,Hawaii,4,13,0.9147,0.0853,Arkansas,,
1,West,BYU,North Carolina St.,6,11,0.5996,0.4004,BYU,,
1,West,Gonzaga,Kennesaw St.,3,14,0.9043,0.0957,Gonzaga,,
1,West,Miami FL,Missouri,7,10,0.6127,0.3873,Miami FL,,
1,West,Purdue,Queens,2,15,0.9348,0.0652,Purdue,,
2,West,Arizona,Villanova,1,8,0.8008,0.1992,Arizona,,
2,West,Wisconsin,Arkansas,5,4,0.3485,0.6515,Arkansas,,
2,West,BYU,Gonzaga,6,3,0.4629,0.5371,Gonzaga,,
2,West,Miami FL,Purdue,7,2,0.3271,0.6729,Purdue,,
3,West,Arizona,Arkansas,1,4,0.6588,0.3412,Arizona,,
3,West,Gonzaga,Purdue,3,2,0.347,0.653,Purdue,,
4,West,Arizona,Purdue,1,2,0.628,0.372,Arizona,,
1,Midwest,Michigan,Howard,1,16,0.9721,0.0279,Michigan,,
1,Midwest,Georgia,Saint Louis,8,9,0.6268,0.3732,Georgia,,
1,Midwest,Texas Tech,Akron,5,12,0.7277,0.2723,Texas Tech,,
1,Midwest,Alabama,Hofstra,4,13,0.9029,0.0971,Alabama,,
1,Midwest,Tennessee,SMU,6,11,0.633,0.367,Tennessee,,
1,Midwest,Virginia,Wright St.,3,14,0.9122,0.0878,Virginia,,
1,Midwest,Kentucky,Santa Clara,7,10,0.6365,0.3635,Kentucky,,
1,Midwest,Iowa St.,Tennessee St.,2,15,0.9049,0.0951,Iowa St.,,
2,Midwest,Michigan,Georgia,1,8,0.8066,0.1934,Michigan,,
2,Midwest,Texas Tech,Alabama,5,4,0.3724,0.6276,Alabama,,
2,Midwest,Tennessee,Virginia,6,3,0.3972,0.6028,Virginia,,
2,Midwest,Kentucky,Iowa St.,7,2,0.4283,0.5717,Iowa St.,,
3,Midwest,Michigan,Alabama,1,4,0.6837,0.3163,Michigan,,
3,Midwest,Virginia,Iowa St.,3,2,0.5094,0.4906,Virginia,,
4,Midwest,Michigan,Virginia,1,3,0.7197,0.2803,Michigan,,
5,Final Four,Duke,Houston,1,2,0.6663,0.3337,Duke,,
5,Final Four,Arizona,Michigan,1,1,0.5053,0.4947,Arizona,,
6,Championship,Duke,Arizona,1,1,0.5359,0.4641,Duke,,
