year,feature_set,n_features,accuracy,log_loss
2016,baseline_2feat,2,0.7869,0.4421
2016,full_all_feats,8,0.7541,0.4658
2016,shap_selected,1,0.4262,0.7027
2017,baseline_2feat,2,0.7719,0.4682
2017,full_all_feats,8,0.7018,0.4898
2017,shap_selected,1,0.6667,0.6529
2018,baseline_2feat,2,0.7414,0.5452
2018,full_all_feats,8,0.7241,0.5344
2018,shap_selected,1,0.5776,0.6993
2019,baseline_2feat,2,0.8136,0.4148
2019,full_all_feats,8,0.7966,0.4086
2019,shap_selected,1,0.6186,0.6582
2021,baseline_2feat,2,0.7586,0.4701
2021,full_all_feats,8,0.8276,0.4539
2021,shap_selected,1,0.5431,0.6738
2022,baseline_2feat,2,0.6667,0.6038
2022,full_all_feats,8,0.6667,0.6097
2022,shap_selected,1,0.6349,0.6871
2023,baseline_2feat,2,0.6885,0.5763
2023,full_all_feats,8,0.7049,0.5972
2023,shap_selected,1,0.6557,0.6722
2024,baseline_2feat,2,0.697,0.5213
2024,full_all_feats,8,0.7273,0.4835
2024,shap_selected,1,0.5455,0.67
