feature,mean_abs_shap,sign_consistency,n_folds
WAB,0.19001886062324047,0.251953125,8
R SCORE,0.13466696441173553,0.287109375,8
ELO,0.11401721462607384,0.427734375,8
TALENT,0.10108206979930401,0.455078125,8
BARTHAG,0.08729443931952119,0.240234375,8
BADJ EM,0.06790030840784311,0.25390625,8
NET RPI,0.06535018049180508,0.3203125,8
FTR,0.06195577001199126,0.74609375,8
DREB%,0.05486858543008566,0.59765625,8
KADJ EM,0.053155693458393216,0.458984375,8
EFF HGT,0.05209890892729163,0.50390625,8
ELITE SOS,0.0502069303765893,0.4765625,8
OREB%,0.04721547313965857,0.33984375,8
AVG HGT,0.04703638656064868,0.466796875,8
2PT%D,0.042789166793227196,0.71875,8
KADJ T,0.040039241779595613,0.533203125,8
TOV%,0.03739207633771002,0.673828125,8
EXP,0.037309456849470735,0.54296875,8
3PT%D,0.034257384948432446,0.509765625,8
2PTR,0.03245460940524936,0.62109375,8
2PT%,0.03238591202534735,0.408203125,8
TOV%D,0.03227867023088038,0.439453125,8
BADJ T,0.03152895602397621,0.294921875,8
PPPO,0.03013449558056891,0.505859375,8
Q1 PLUS Q2 W,0.030129013117402792,0.51953125,8
BADJ D,0.028940891148522496,0.353515625,8
EFG%,0.024722902104258537,0.470703125,8
FTRD,0.024034421425312757,0.333984375,8
RESUME,0.02321961265988648,0.5234375,8
3PT%,0.02224145643413067,0.408203125,8
KADJ O,0.022232429822906852,0.484375,8
B POWER,0.02207109797745943,0.3515625,8
BADJ O,0.02119092538487166,0.419921875,8
PPPD,0.020067765610292554,0.55859375,8
KADJ D,0.019116338808089495,0.431640625,8
EFG%D,0.018940465291962028,0.53125,8
Q1 W,0.0180787822464481,0.626953125,8
Q2 W,0.012549530481919646,0.490234375,8
Q3 Q4 L,0.011652512708678842,0.41796875,8
3PTR,0.00548567806254141,0.39453125,8
