,Akron,Alabama,Alabama St.,American,Arizona,Arkansas,Auburn,BYU,Baylor,Bryant,Clemson,Colorado St.,Connecticut,Creighton,Drake,Duke,Florida,Georgia,Gonzaga,Grand Canyon,High Point,Houston,Illinois,Iowa St.,Kansas,Kentucky,Liberty,Lipscomb,Louisville,Marquette,Maryland,McNeese St.,Memphis,Michigan,Michigan St.,Mississippi,Mississippi St.,Missouri,Montana,Mount St. Mary's,Nebraska Omaha,New Mexico,Norfolk St.,North Carolina,Oklahoma,Oregon,Purdue,Robert Morris,SIU Edwardsville,Saint Francis,Saint Mary's,San Diego St.,St. John's,Tennessee,Texas,Texas A&M,Texas Tech,Troy,UC San Diego,UCLA,UNC Wilmington,Utah St.,VCU,Vanderbilt,Wisconsin,Wofford,Xavier,Yale
Akron,0.5,0.0381,0.7984,0.7537,0.0592,0.111,0.0222,0.1048,0.0947,0.5903,0.0948,0.1327,0.1151,0.1246,0.2386,0.0136,0.0189,0.1534,0.0217,0.5049,0.4211,0.0186,0.065,0.0573,0.0755,0.0825,0.3624,0.4036,0.0863,0.1197,0.0479,0.3555,0.4585,0.093,0.0468,0.0825,0.1326,0.0704,0.649,0.7472,0.6187,0.1659,0.6287,0.0772,0.1631,0.1247,0.0661,0.534,0.7003,0.8621,0.0881,0.2384,0.0796,0.0356,0.1802,0.0907,0.0498,0.4496,0.1096,0.0626,0.4991,0.3539,0.0956,0.2156,0.0578,0.4934,0.1561,0.368
Alabama,0.9619,0.5,0.9901,0.9872,0.6141,0.7595,0.365,0.7474,0.7256,0.9733,0.7258,0.7946,0.7668,0.7825,0.8879,0.2584,0.3276,0.8208,0.359,0.9627,0.9484,0.3241,0.6372,0.6057,0.6736,0.6945,0.9349,0.9448,0.7049,0.7746,0.5597,0.9331,0.9554,0.7216,0.5539,0.6945,0.7944,0.6569,0.979,0.9868,0.9762,0.834,0.9772,0.6789,0.8313,0.7826,0.6416,0.9666,0.9833,0.9937,0.7095,0.8878,0.6863,0.4826,0.8475,0.7159,0.5697,0.9538,0.7568,0.6278,0.9618,0.9326,0.7277,0.8742,0.608,0.961,0.8238,0.9364
Alabama St.,0.2016,0.0099,0.5,0.4359,0.0156,0.0306,0.0057,0.0287,0.0257,0.2668,0.0258,0.0372,0.0318,0.0347,0.0733,0.0035,0.0048,0.0438,0.0056,0.2048,0.1552,0.0048,0.0172,0.0151,0.0202,0.0222,0.1255,0.1459,0.0233,0.0332,0.0125,0.1223,0.1762,0.0252,0.0123,0.0222,0.0372,0.0188,0.3183,0.4274,0.2906,0.0478,0.2995,0.0207,0.0469,0.0347,0.0176,0.2244,0.371,0.6123,0.0238,0.0733,0.0214,0.0092,0.0526,0.0246,0.0131,0.171,0.0302,0.0166,0.201,0.1215,0.026,0.0649,0.0153,0.1974,0.0446,0.1282
American,0.2463,0.0128,0.5641,0.5,0.0202,0.0392,0.0074,0.0368,0.033,0.3201,0.0331,0.0476,0.0408,0.0445,0.0929,0.0045,0.0063,0.0559,0.0072,0.2499,0.192,0.0062,0.0222,0.0195,0.026,0.0285,0.1567,0.1811,0.03,0.0425,0.0162,0.1527,0.2167,0.0324,0.0158,0.0285,0.0476,0.0242,0.3766,0.4914,0.3465,0.061,0.3562,0.0266,0.0599,0.0445,0.0226,0.2724,0.4329,0.6714,0.0306,0.0928,0.0275,0.0119,0.067,0.0315,0.0168,0.2107,0.0387,0.0213,0.2456,0.1518,0.0334,0.0824,0.0197,0.2414,0.057,0.1598
Arizona,0.9408,0.3859,0.9844,0.9798,0.5,0.6649,0.2654,0.6503,0.6242,0.9581,0.6246,0.7085,0.6738,0.6934,0.8327,0.1797,0.2344,0.7421,0.2603,0.9419,0.9203,0.2316,0.5246,0.4912,0.5646,0.5882,0.9003,0.9149,0.6002,0.6835,0.444,0.8976,0.9308,0.6195,0.4382,0.5882,0.7082,0.5461,0.9671,0.9791,0.9626,0.7595,0.9641,0.5705,0.7558,0.6934,0.5294,0.9479,0.9738,0.99,0.6054,0.8326,0.5788,0.3695,0.7773,0.6129,0.4542,0.9284,0.6617,0.5146,0.9406,0.8969,0.6267,0.8136,0.4936,0.9393,0.746,0.9024
Arkansas,0.889,0.2405,0.9694,0.9608,0.3351,0.5,0.154,0.4838,0.4557,0.9202,0.4561,0.5506,0.5101,0.5326,0.715,0.0994,0.1337,0.5919,0.1507,0.8909,0.8534,0.1319,0.3574,0.3273,0.3953,0.4186,0.8198,0.8442,0.4307,0.5211,0.287,0.8154,0.8714,0.4508,0.2822,0.4185,0.5503,0.3775,0.9367,0.9595,0.9285,0.6142,0.9313,0.4011,0.6094,0.5327,0.3618,0.9017,0.9492,0.9804,0.4361,0.7148,0.4092,0.228,0.6376,0.4438,0.2955,0.8674,0.4964,0.3482,0.8886,0.8143,0.4584,0.6875,0.3294,0.8863,0.5968,0.8233
Auburn,0.9778,0.635,0.9943,0.9926,0.7346,0.846,0.5,0.8374,0.8214,0.9845,0.8216,0.8706,0.8512,0.8623,0.9323,0.3774,0.4588,0.8885,0.4935,0.9782,0.9697,0.4548,0.7534,0.7277,0.7821,0.7982,0.9615,0.9675,0.806,0.8567,0.6886,0.9604,0.9738,0.8184,0.6835,0.7981,0.8705,0.7691,0.9878,0.9924,0.9862,0.8974,0.9867,0.7862,0.8955,0.8623,0.757,0.9805,0.9904,0.9964,0.8094,0.9323,0.7919,0.6187,0.9062,0.8142,0.6973,0.9729,0.8441,0.7458,0.9777,0.9601,0.823,0.9236,0.7296,0.9772,0.8905,0.9624
BYU,0.8952,0.2526,0.9713,0.9632,0.3497,0.5162,0.1626,0.5,0.4718,0.9249,0.4722,0.5665,0.5263,0.5487,0.728,0.1054,0.1414,0.6075,0.1592,0.897,0.8613,0.1395,0.3724,0.3417,0.4108,0.4344,0.8292,0.8525,0.4466,0.5373,0.3004,0.8249,0.8785,0.4668,0.2955,0.4344,0.5662,0.3928,0.9404,0.9619,0.9327,0.6294,0.9353,0.4167,0.6247,0.5488,0.3769,0.9073,0.9523,0.9816,0.4521,0.7278,0.425,0.2396,0.6525,0.4599,0.3091,0.8747,0.5126,0.3631,0.8949,0.8239,0.4745,0.7013,0.3439,0.8927,0.6123,0.8326
Baylor,0.9053,0.2744,0.9743,0.967,0.3758,0.5443,0.1786,0.5282,0.5,0.9323,0.5003,0.594,0.5543,0.5765,0.7497,0.1165,0.1556,0.634,0.1748,0.907,0.8743,0.1535,0.3991,0.3675,0.4384,0.4623,0.8446,0.8661,0.4747,0.5652,0.3246,0.8406,0.8901,0.495,0.3195,0.4623,0.5937,0.42,0.9465,0.9658,0.9394,0.6553,0.9418,0.4443,0.6507,0.5766,0.4038,0.9163,0.9571,0.9835,0.4801,0.7496,0.4528,0.2608,0.6776,0.488,0.3337,0.8865,0.5407,0.3895,0.905,0.8397,0.5026,0.7244,0.3697,0.903,0.6387,0.8477
Bryant,0.4097,0.0267,0.7332,0.6799,0.0419,0.0798,0.0155,0.0751,0.0677,0.5,0.0678,0.096,0.0828,0.0899,0.1786,0.0095,0.0132,0.1117,0.0151,0.4144,0.3354,0.013,0.046,0.0405,0.0536,0.0587,0.2829,0.3196,0.0615,0.0862,0.0337,0.2769,0.3702,0.0664,0.033,0.0587,0.0959,0.0499,0.562,0.6723,0.5297,0.1213,0.5402,0.0549,0.1191,0.09,0.0469,0.4429,0.6185,0.8127,0.0628,0.1785,0.0567,0.025,0.1324,0.0647,0.0351,0.3618,0.0787,0.0443,0.4088,0.2755,0.0683,0.1602,0.0408,0.4033,0.1137,0.2878
